// Comment line starts with //.   Any blank line will be ignored as well.,,,,,,,,,,,,,,,,,,,,
// CBCR Header record. The doc has one header record.,,,,,,,,,,,,,,,,,,,,
CBCR_Header,name,code,description,reportingEntityCode,currencyCode,resCountryCode,,,,,,,,,,,,,,
,Sample CBCR Report 1,Sample1,A sample CBCR report that government gets from its taxpayer.,AbcCorp,USD,US,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
// CBCR_Entity records. One record for each entity included in the CBCR report,,,,,,,,,,,,,,,,,,,,
CBCR_Entity,name,entityCode,description,taxIdNum,incorpCountryCode,otherEntityInfo,resCountryCode,idNum,isPermanentEstablishment,addrLegalType,addrCountryCode,addrFreeText,addrStreet,addrBuildingIdentifier,addrSuiteIdentifier,addrFloorIdentifier,addrPOB,addrPostCode,addrCity,addrCountrySubentity
,ABC Corp,AbcCorp,An example parent company.,123456789,US,None,US,,0,,US,"123 Main Street, Philadelphia, PA 19101, USA",123,,,,,19101,Philadelphia,Pennsylvania
,Mexico Sub1,MexSub1,A subsidiary of ABC Corp in Mexico,AbcSub1,MX,None,MX,,0,,MX,"456 Market St, Mexico City, MX",456,,,,,,Mexico City,
,,,,,,,,,,,,,,,,,,,,
// CBCR_Table1 records. One record for each country included in the table 1 of CBCR.,,,,,,,,,,,,,,,,,,,,
CBCR_Table1 records. One record for each country included in the table 1 of CBCR.,taxJurisdiction,revenueUnrelatedParty,revenueRelatedParty,revenueTotal,plBeforeIncomeTax,incomeTaxPaid,incomeTaxAccrued,statedCapital,accumulatedEarnings,numberOfEmployees,tangibleAssetsNonCash,,,,,,,,,
,US,1000,2000,3000,500,100,150,1000000,10000,120,150000000,,,,,,,,,
,MX,300,400,700,400,80,20,250000,20000,300,7000000,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
// CBCR_Table2 records. One record for each country that an entity operates business in.,,,,,,,,,,,,,,,,,,,,
CBCR_Table2,entityCode,taxJurisdiction,taxJurisOfIncorporation,mainBusRAndD,mainBusHoldingIp,mainBusPurchasing,mainBusSalesMktDistr,mainBusAdminMgmtSupportSvc,mainBusProvSvcToUnrelatedParties,mainBusInternalGroupFinance,mainBusRegulatedFinSvc,mainBusInsurance,mainBusHoldingEquityInstruments,mainBusDormant,mainBusOther,mainBusOtherNotes,,,,
,AbcCorp,US,US,1,,,1,,,,,,,,,,,,,
,AbcCorp,MX,US,,,,,,,,1,,,,,,,,,
,MexSub1,MX,MX,,,1,,,,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
// CBCR_Table3 records. Potentially one for each country and each Table1 field (summaryRef),,,,,,,,,,,,,,,,,,,,
CBCR_Table3,countryCode,summaryRef,mneGroupName,fiscalYearConcerned,additionalInfo,,,,,,,,,,,,,,,
,MX,CBC601,ABC Corp,2015,All currency are translated using spot rate 12/31/2015.,,,,,,,,,,,,,,,
,MX,CBC602,ABC Corp,2015,The number is much increased this year due to acquisition of a provate company,,,,,,,,,,,,,,,
,US,CBC601,ABC Corp,2015,The headquarter office rental cost is high due to the high real estate market at the location.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
// CBCR_Property records. Potentially additional data that might be country specific beyond the OECD minimum requirements. Deferred for later iterations.,,,,,,,,,,,,,,,,,,,,
